央视,#genre#
CCTV1,http://nas.jdshipin.com:8801/bst.php?id=cctv1hd8m/8000000
CCTV1,http://nas.jdshipin.com:8801/fmm.php?id=cctv1
CCTV1,https://live.goodiptv.club/api/cqyx.php?id=cctv1HD
CCTV1,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?CONTENTID=00000110240127_1
CCTV2,http://nas.jdshipin.com:8801/bst.php?id=cctv2hd8m/8000000
CCTV2,http://nas.jdshipin.com:8801/fmm.php?id=cctv2
CCTV2,https://live.goodiptv.club/api/cqyx.php?id=cctv2HD
CCTV2,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240244_1/encoder/0/playlist.m3u8?CONTENTID=00000110240244_1
CCTV3,http://nas.jdshipin.com:8801/bst.php?id=cctv38m/8000000
CCTV3,http://nas.jdshipin.com:8801/fmm.php?id=cctv3
CCTV3,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD
CCTV3,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8?CONTENTID=00000110240245_1

CCTV4-4k,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8

CCTV4,http://nas.jdshipin.com:8801/bst.php?id=cctv4hd8m/8000000
CCTV4,http://nas.jdshipin.com:8801/fmm.php?id=cctv4
CCTV4,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD
CCTV4,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?CONTENTID=00000110240316_1

CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8

CCTV5,http://nas.jdshipin.com:8801/bst.php?id=cctv58m/8000000
CCTV5,http://nas.jdshipin.com:8801/fmm.php?id=cctv5
CCTV5,https://live.goodiptv.club/api/cqyx.php?id=cctv5HD
CCTV5,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240246_1/encoder/0/playlist.m3u8?CONTENTID=00000110240246_1
CCTV5+,http://nas.jdshipin.com:8801/bst.php?id=cctv5phd8m/8000000
CCTV5+,http://nas.jdshipin.com:8801/fmm.php?id=cctv5p
CCTV5+,https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD
CCTV5+,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8?CONTENTID=00000110240128_1

CCTV6,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8

CCTV6,http://nas.jdshipin.com:8801/bst.php?id=cctv6hd8m/8000000
CCTV6,http://nas.jdshipin.com:8801/fmm.php?id=cctv6
CCTV6,https://live.goodiptv.club/api/cqyx.php?id=cctv6HD
CCTV6,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8?CONTENTID=00000110240247_1
CCTV7,http://nas.jdshipin.com:8801/bst.php?id=cctv7hd8m/8000000
CCTV7,http://nas.jdshipin.com:8801/fmm.php?id=cctv7
CCTV7,https://live.goodiptv.club/api/cqyx.php?id=cctv7HD
CCTV7,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240248_1/encoder/0/playlist.m3u8?CONTENTID=00000110240248_1
CCTV8,http://nas.jdshipin.com:8801/bst.php?id=cctv8hd8m/8000000
CCTV8,http://nas.jdshipin.com:8801/fmm.php?id=cctv8
CCTV8,https://live.goodiptv.club/api/cqyx.php?id=cctv8HD
CCTV8,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8?CONTENTID=00000110240249_1
CCTV9,http://nas.jdshipin.com:8801/bst.php?id=cctv9hd8m/8000000
CCTV9,http://nas.jdshipin.com:8801/fmm.php?id=cctv9
CCTV9,https://live.goodiptv.club/api/cqyx.php?id=cctv9HD
CCTV9,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240478_1/encoder/0/playlist.m3u8?CONTENTID=00000110240478_1
CCTV10,http://nas.jdshipin.com:8801/bst.php?id=cctv10hd8m/8000000
CCTV10,http://nas.jdshipin.com:8801/fmm.php?id=cctv10
CCTV10,https://live.goodiptv.club/api/cqyx.php?id=cctv10HD
CCTV10,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240251_1/encoder/0/playlist.m3u8?CONTENTID=00000110240251_1
CCTV11,http://nas.jdshipin.com:8801/bst.php?id=cctv11hd8m/8000000
CCTV11,http://nas.jdshipin.com:8801/fmm.php?id=cctv11
CCTV11,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD
CCTV11,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240328_1/encoder/0/playlist.m3u8?CONTENTID=00000110240328_1
CCTV12,http://nas.jdshipin.com:8801/bst.php?id=cctv12hd8m/8000000
CCTV12,http://nas.jdshipin.com:8801/fmm.php?id=cctv12
CCTV12,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD
CCTV12,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240252_1/encoder/0/playlist.m3u8?CONTENTID=00000110240252_1
CCTV13,http://nas.jdshipin.com:8801/bst.php?id=cctv13xwhd8m/8000000
CCTV13,http://nas.jdshipin.com:8801/fmm.php?id=cctv13
CCTV13,https://live.goodiptv.club/api/cqyx.php?id=CCTVNewsHD
CCTV13,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240502_1/encoder/0/playlist.m3u8?CONTENTID=00000110240502_1
CCTV14,http://nas.jdshipin.com:8801/bst.php?id=cctvsehd8m/8000000
CCTV14,http://nas.jdshipin.com:8801/fmm.php?id=cctv14
CCTV14,https://live.goodiptv.club/api/cqyx.php?id=cctvseHD
CCTV14,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240253_1/encoder/0/playlist.m3u8?CONTENTID=00000110240253_1
CCTV15,http://nas.jdshipin.com:8801/bst.php?id=cctv15hd8m/8000000
CCTV15,http://nas.jdshipin.com:8801/fmm.php?id=cctv15
CCTV15,https://live.goodiptv.club/api/cqyx.php?id=cctv15HD
CCTV15,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240329_1/encoder/0/playlist.m3u8?CONTENTID=00000110240329_1
CCTV16,http://nas.jdshipin.com:8801/bst.php?id=cctv16hd8m/8000000
